Station,Date,Flow
02HC032,1965-10-01,0.085
02HC032,1965-10-02,0.068
02HC032,1965-10-03,0.071
02HC032,1965-10-04,0.068
02HC032,1965-10-05,0.062
02HC032,1965-10-06,0.062
02HC032,1965-10-07,0.074
02HC032,1965-10-08,0.147
02HC032,1965-10-09,0.215
02HC032,1965-10-10,0.224
02HC032,1965-10-11,0.159
02HC032,1965-10-12,0.133
02HC032,1965-10-13,0.119
02HC032,1965-10-14,0.113
02HC032,1965-10-15,0.105
02HC032,1965-10-16,0.102
02HC032,1965-10-17,0.102
02HC032,1965-10-18,0.091
02HC032,1965-10-19,0.088
02HC032,1965-10-20,0.088
02HC032,1965-10-21,0.187
02HC032,1965-10-22,0.513
02HC032,1965-10-23,0.716
02HC032,1965-10-24,0.541
02HC032,1965-10-25,0.368
02HC032,1965-10-26,0.28
02HC032,1965-10-27,0.238
02HC032,1965-10-28,0.207
02HC032,1965-10-29,0.187
02HC032,1965-10-30,0.173
02HC032,1965-10-31,0.178
02HC032,1965-11-01,0.178
02HC032,1965-11-02,0.187
02HC032,1965-11-03,0.193
02HC032,1965-11-04,0.173
02HC032,1965-11-05,0.159
02HC032,1965-11-06,0.153
02HC032,1965-11-07,0.133
02HC032,1965-11-08,0.147
02HC032,1965-11-09,0.193
02HC032,1965-11-10,0.193
02HC032,1965-11-11,0.164
02HC032,1965-11-12,0.164
02HC032,1965-11-13,0.147
02HC032,1965-11-14,0.153
02HC032,1965-11-15,0.139
02HC032,1965-11-16,0.159
02HC032,1965-11-17,0.578
02HC032,1965-11-18,0.496
02HC032,1965-11-19,0.411
02HC032,1965-11-20,0.343
02HC032,1965-11-21,0.484
02HC032,1965-11-22,0.541
02HC032,1965-11-23,0.484
02HC032,1965-11-24,0.569
02HC032,1965-11-25,0.578
02HC032,1965-11-26,0.578
02HC032,1965-11-27,1.15
02HC032,1965-11-28,1.05
02HC032,1965-11-29,0.674
02HC032,1965-11-30,0.561
02HC032,1965-12-01,0.467
02HC032,1965-12-02,0.402
02HC032,1965-12-03,0.411
02HC032,1965-12-04,0.496
02HC032,1965-12-05,0.459
02HC032,1965-12-06,0.419
02HC032,1965-12-07,0.419
02HC032,1965-12-08,0.343
02HC032,1965-12-09,0.311
02HC032,1965-12-10,0.311
02HC032,1965-12-11,0.317
02HC032,1965-12-12,0.317
02HC032,1965-12-13,0.739
02HC032,1965-12-14,0.997
02HC032,1965-12-15,0.773
02HC032,1965-12-16,0.637
02HC032,1965-12-17,0.532
02HC032,1965-12-18,0.476
02HC032,1965-12-19,0.459
02HC032,1965-12-20,0.549
02HC032,1965-12-21,0.326
02HC032,1965-12-22,0.28
02HC032,1965-12-23,0.275
02HC032,1965-12-24,0.496
02HC032,1965-12-25,0.934
02HC032,1965-12-26,0.971
02HC032,1965-12-27,1.15
02HC032,1965-12-28,0.773
02HC032,1965-12-29,0.637
02HC032,1965-12-30,0.578
02HC032,1965-12-31,1.37
02HC032,1966-01-01,2.4
02HC032,1966-01-02,1.32
02HC032,1966-01-03,0.957
02HC032,1966-01-04,0.75
02HC032,1966-01-05,0.665
02HC032,1966-01-06,0.476
02HC032,1966-01-07,0.43
02HC032,1966-01-08,0.467
02HC032,1966-01-09,0.396
02HC032,1966-01-10,0.34
02HC032,1966-01-11,0.289
02HC032,1966-01-12,0.283
02HC032,1966-01-13,0.272
02HC032,1966-01-14,0.258
02HC032,1966-01-15,0.249
02HC032,1966-01-16,0.241
02HC032,1966-01-17,0.229
02HC032,1966-01-18,0.221
02HC032,1966-01-19,0.21
02HC032,1966-01-20,0.198
02HC032,1966-01-21,0.193
02HC032,1966-01-22,0.184
02HC032,1966-01-23,0.178
02HC032,1966-01-24,0.173
02HC032,1966-01-25,0.167
02HC032,1966-01-26,0.161
02HC032,1966-01-27,0.159
02HC032,1966-01-28,0.153
02HC032,1966-01-29,0.147
02HC032,1966-01-30,0.144
02HC032,1966-01-31,0.142
02HC032,1966-02-01,0.139
02HC032,1966-02-02,0.136
02HC032,1966-02-03,0.13
02HC032,1966-02-04,0.13
02HC032,1966-02-05,0.127
02HC032,1966-02-06,0.125
02HC032,1966-02-07,0.122
02HC032,1966-02-08,0.122
02HC032,1966-02-09,0.122
02HC032,1966-02-10,0.303
02HC032,1966-02-11,2.89
02HC032,1966-02-12,1.39
02HC032,1966-02-13,0.971
02HC032,1966-02-14,0.685
02HC032,1966-02-15,0.651
02HC032,1966-02-16,0.538
02HC032,1966-02-17,0.453
02HC032,1966-02-18,0.368
02HC032,1966-02-19,0.283
02HC032,1966-02-20,0.227
02HC032,1966-02-21,0.17
02HC032,1966-02-22,0.113
02HC032,1966-02-23,0.113
02HC032,1966-02-24,0.113
02HC032,1966-02-25,0.113
02HC032,1966-02-26,0.116
02HC032,1966-02-27,0.119
02HC032,1966-02-28,0.122
02HC032,1966-03-01,3.91
02HC032,1966-03-02,1.81
02HC032,1966-03-03,1.46
02HC032,1966-03-04,1.39
02HC032,1966-03-05,3.06
02HC032,1966-03-06,2.32
02HC032,1966-03-07,1.26
02HC032,1966-03-08,1.1
02HC032,1966-03-09,0.92
02HC032,1966-03-10,0.762
02HC032,1966-03-11,0.886
02HC032,1966-03-12,0.685
02HC032,1966-03-13,1.35
02HC032,1966-03-14,2.38
02HC032,1966-03-15,1.66
02HC032,1966-03-16,1.19
02HC032,1966-03-17,0.957
02HC032,1966-03-18,0.997
02HC032,1966-03-19,1.54
02HC032,1966-03-20,1.29
02HC032,1966-03-21,1.02
02HC032,1966-03-22,1.25
02HC032,1966-03-23,1.44
02HC032,1966-03-24,1.39
02HC032,1966-03-25,1.13
02HC032,1966-03-26,0.898
02HC032,1966-03-27,0.75
02HC032,1966-03-28,0.705
02HC032,1966-03-29,0.606
02HC032,1966-03-30,0.589
02HC032,1966-03-31,0.561
02HC032,1966-04-01,0.549
02HC032,1966-04-02,0.561
02HC032,1966-04-03,0.705
02HC032,1966-04-04,0.606
02HC032,1966-04-05,0.578
02HC032,1966-04-06,0.569
02HC032,1966-04-07,0.654
02HC032,1966-04-08,0.83
02HC032,1966-04-09,0.705
02HC032,1966-04-10,0.694
02HC032,1966-04-11,0.646
02HC032,1966-04-12,0.589
02HC032,1966-04-13,0.549
02HC032,1966-04-14,0.513
02HC032,1966-04-15,0.467
02HC032,1966-04-16,0.467
02HC032,1966-04-17,0.439
02HC032,1966-04-18,0.43
02HC032,1966-04-19,0.402
02HC032,1966-04-20,0.447
02HC032,1966-04-21,0.496
02HC032,1966-04-22,0.532
02HC032,1966-04-23,0.467
02HC032,1966-04-24,0.467
02HC032,1966-04-25,0.476
02HC032,1966-04-26,0.43
02HC032,1966-04-27,0.385
02HC032,1966-04-28,0.419
02HC032,1966-04-29,0.541
02HC032,1966-04-30,0.496
02HC032,1966-05-01,0.447
02HC032,1966-05-02,0.385
02HC032,1966-05-03,0.36
02HC032,1966-05-04,0.351
02HC032,1966-05-05,0.311
02HC032,1966-05-06,0.326
02HC032,1966-05-07,0.326
02HC032,1966-05-08,0.289
02HC032,1966-05-09,0.261
02HC032,1966-05-10,0.229
02HC032,1966-05-11,0.215
02HC032,1966-05-12,0.261
02HC032,1966-05-13,0.504
02HC032,1966-05-14,0.439
02HC032,1966-05-15,0.343
02HC032,1966-05-16,0.326
02HC032,1966-05-17,0.402
02HC032,1966-05-18,0.385
02HC032,1966-05-19,0.694
02HC032,1966-05-20,0.617
02HC032,1966-05-21,0.589
02HC032,1966-05-22,0.504
02HC032,1966-05-23,0.402
02HC032,1966-05-24,0.334
02HC032,1966-05-25,0.303
02HC032,1966-05-26,0.28
02HC032,1966-05-27,0.252
02HC032,1966-05-28,0.215
02HC032,1966-05-29,0.193
02HC032,1966-05-30,0.173
02HC032,1966-05-31,0.164
02HC032,1966-06-01,0.153
02HC032,1966-06-02,0.133
02HC032,1966-06-03,0.133
02HC032,1966-06-04,0.119
02HC032,1966-06-05,0.108
02HC032,1966-06-06,0.105
02HC032,1966-06-07,0.108
02HC032,1966-06-08,0.105
02HC032,1966-06-09,0.133
02HC032,1966-06-10,0.311
02HC032,1966-06-11,0.28
02HC032,1966-06-12,0.178
02HC032,1966-06-13,0.147
02HC032,1966-06-14,0.207
02HC032,1966-06-15,0.385
02HC032,1966-06-16,0.334
02HC032,1966-06-17,0.275
02HC032,1966-06-18,0.215
02HC032,1966-06-19,0.173
02HC032,1966-06-20,0.147
02HC032,1966-06-21,0.127
02HC032,1966-06-22,0.113
02HC032,1966-06-23,0.102
02HC032,1966-06-24,0.096
02HC032,1966-06-25,0.088
02HC032,1966-06-26,0.074
02HC032,1966-06-27,0.045
02HC032,1966-06-28,0.062
02HC032,1966-06-29,0.071
02HC032,1966-06-30,0.068
02HC032,1966-07-01,0.062
02HC032,1966-07-02,0.059
02HC032,1966-07-03,0.059
02HC032,1966-07-04,0.059
02HC032,1966-07-05,0.059
02HC032,1966-07-06,0.059
02HC032,1966-07-07,0.057
02HC032,1966-07-08,0.059
02HC032,1966-07-09,0.059
02HC032,1966-07-10,0.057
02HC032,1966-07-11,0.068
02HC032,1966-07-12,0.071
02HC032,1966-07-13,0.062
02HC032,1966-07-14,0.062
02HC032,1966-07-15,0.057
02HC032,1966-07-16,0.057
02HC032,1966-07-17,0.051
02HC032,1966-07-18,0.051
02HC032,1966-07-19,0.057
02HC032,1966-07-20,0.051
02HC032,1966-07-21,0.051
02HC032,1966-07-22,0.051
02HC032,1966-07-23,0.048
02HC032,1966-07-24,0.051
02HC032,1966-07-25,0.048
02HC032,1966-07-26,0.051
02HC032,1966-07-27,0.051
02HC032,1966-07-28,0.091
02HC032,1966-07-29,0.068
02HC032,1966-07-30,0.059
02HC032,1966-07-31,0.057
02HC032,1966-08-01,0.051
02HC032,1966-08-02,0.059
02HC032,1966-08-03,0.059
02HC032,1966-08-04,0.059
02HC032,1966-08-05,0.062
02HC032,1966-08-06,0.062
02HC032,1966-08-07,0.062
02HC032,1966-08-08,0.062
02HC032,1966-08-09,0.062
02HC032,1966-08-10,0.068
02HC032,1966-08-11,0.091
02HC032,1966-08-12,0.085
02HC032,1966-08-13,0.074
02HC032,1966-08-14,0.071
02HC032,1966-08-15,0.071
02HC032,1966-08-16,0.074
02HC032,1966-08-17,0.071
02HC032,1966-08-18,0.062
02HC032,1966-08-19,0.068
02HC032,1966-08-20,0.074
02HC032,1966-08-21,0.071
02HC032,1966-08-22,0.085
02HC032,1966-08-23,0.096
02HC032,1966-08-24,0.085
02HC032,1966-08-25,0.079
02HC032,1966-08-26,0.079
02HC032,1966-08-27,0.071
02HC032,1966-08-28,0.071
02HC032,1966-08-29,0.057
02HC032,1966-08-30,0.068
02HC032,1966-08-31,0.071
02HC032,1966-09-01,0.059
02HC032,1966-09-02,0.051
02HC032,1966-09-03,0.059
02HC032,1966-09-04,0.153
